ARREST DATE,TOP CHARGE DESCRIPTION,HOME PSA,CRIME / ARREST PSA
2/18/2014 ,AFFRAYS,707,701
2/18/2014 ,THROWING STONES OR MISSILES,701,701
2/18/2014 ,UCSA POSSESSION MARIJUANA,703,703
2/18/2014 ,SIMPLE ASSAULT,507,505
2/18/2014 ,UCSA POSSESSION MARIJUANA,703,703
2/18/2014 ,SIMPLE ASSAULT,505,505
2/18/2014 ,UCSA PWID MARIJUANA,706,703
2/18/2014 ,UNAUTHORIZED USE OF A VEHICLE,603,603
2/18/2014 ,THROWING STONES OR MISSILES,702,701
2/19/2014 ,FUGITIVE FROM JUSTICE,OUT OF STATE ,JPC
2/19/2014 ,JUVENILE CUSTODY ORDER - FTA,503,504
2/19/2014 ,SIMPLE ASSAULT,701,106
2/19/2014 ,THEFT SECOND DEGREE,505,101
2/19/2014 ,UCSA PWID MARIJUANA,707,703
2/19/2014 ,NO PERMIT (MOTORCYCLE),602,602
2/19/2014 ,"ROBBERY, FORCE & VIOLENCE",703,703
2/19/2014 ,"ROBBERY, FORCE & VIOLENCE",703,703
2/19/2014 ,APO (MISD),605,605
2/19/2014 ,SIMPLE ASSAULT,505,409
2/19/2014 ,NO PERMIT (MOTORCYCLE),602,602
2/20/2014 ,CARJACKING UNARMED,603,707
2/20/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),602,602
2/20/2014 ,UNLAWFUL ENTRY OF A MOTOR VEHICLE,701,204
2/20/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),608,602
2/20/2014 ,APO (MISD),702,703
2/20/2014 ,SIMPLE ASSAULT,407,407
2/20/2014 ,APO (FELONY),704,702
2/20/2014 ,FORGERY (INCL ATTEMPTS) OR UTTERING,708,703
2/20/2014 ,"ROBBERY, FORCE & VIOLENCE",608,103
2/20/2014 ,ROBBERY SNATCH OR PURSESNATCH,308,102
2/20/2014 ,"ROBBERY, FORCE & VIOLENCE",504,103
2/21/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,308,308
2/21/2014 ,ADW KNIFE OR CUTTING INSTRUMENT,502,408
2/21/2014 ,BAIL REFORM ACT -FELONY,608,COURT
2/21/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,706,706
2/21/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,707,707
2/21/2014 ,ASSAULT ON A POLICE OFFICER (FELONY),502,505
2/22/2014 ,THREATS (FELONY),608,608
2/22/2014 ,SIMPLE ASSAULT,507,507
2/23/2014 ,AFFRAYS,703,703
2/23/2014 ,FAILURE TO OBEY A LAWFUL ORDER,105,105
2/23/2014 ,FAILING TO OBEY A POLICE ORDER,103,105
2/23/2014 ,"ROBBERY, FORCE & VIOLENCE",602,602
2/24/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,707,706
2/24/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,405,102
2/24/2014 ,FUGITIVE FROM JUSTICE,703,JPC
2/24/2014 ,UCSA POSSESSION MARIJUANA,603,603
2/24/2014 ,SIMPLE ASSAULT,601,601
2/24/2014 ,THREATS TO DO BODILY HARM - MISD,601,601
2/25/2014 ,APO (MISD),702,502
2/25/2014 ,APO (MISD),604,502
2/25/2014 ,APO (MISD),604,502
2/25/2014 ,APO (MISD),706,502
2/25/2014 ,APO (MISD),506,502
2/25/2014 ,APO (FELONY),502,502
2/25/2014 ,UCSA POSSESSION MARIJUANA,601,108
2/25/2014 ,FAILURE TO APPEAR,608,503
2/25/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,105,105
2/25/2014 ,ASSAULT ON A POLICE OFFICER (FELONY),502,505
2/25/2014 ,UNAUTHORIZED USE OF A VEHICLE,702,702
2/25/2014 ,ASSAULT ON A POLICE OFFICER (FELONY),502,505
2/25/2014 ,ADW OTHER DANGEROUS WEAPON,105,202
2/25/2014 ,NO PERMIT,702,702
2/25/2014 ,ADW OTHER DANGEROUS WEAPON,402,202
2/25/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,603,308
2/25/2014 ,BURGLARY ONE,406,503
2/26/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,402,COURT
2/26/2014 ,DESTRUCTION OF PROPERTY - MISD,503,505
2/26/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,507,507
2/26/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,704,704
2/26/2014 ,"ASSAULTING, RESISTING, IMPEDING CERTAIN OFFICERS",OUT OF STATE ,505
2/26/2014 ,METRO - FAIL TO PAY FARE,701,404
2/26/2014 ,SIMPLE ASSAULT,704,704
2/26/2014 ,POSSESSION OF UNREGISTERED AMMUNITION,502,502
2/26/2014 ,ESCAPE FROM INSTITUTION OR OFFICER,501,501
2/27/2014 ,ROBBERY,105,105
2/27/2014 ,ARSON,108,108
2/27/2014 ,SIMPLE ASSAULT,507,108
2/27/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,603,603
2/27/2014 ,THREATS (FELONY),304,302
2/27/2014 ,UCSA PWID MARIJUANA,OUT OF STATE ,702
2/27/2014 ,POSSESS PROHIBITED WEAPON,104,703
2/28/2014 ,SIMPLE ASSAULT,706,706
2/28/2014 ,SIMPLE ASSAULT,706,706
2/28/2014 ,DISORDERLY CONDUCT,703,306
2/28/2014 ,POSS OF A CONTROLLED SUBSTANCE -MISD,704,607
2/28/2014 ,UNLAWFUL ENTRY,502,502
2/28/2014 ,SIMPLE ASSAULT,502,502
3/1/2014 ,UNAUTHORIZED USE OF VEHICLE (UUV),602,405
3/1/2014 ,THEFT 2 (THEFT F/BUILDING),304,304
3/1/2014 ,NO PERMIT,704,704
3/1/2014 ,SIMPLE ASSAULT,602,604
3/2/2014 ,UNAUTHORIZED USE OF A VEHICLE,604,505
3/2/2014 ,SIMPLE ASSAULT,604,604
3/2/2014 ,SIMPLE ASSAULT,705,708
3/2/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,308,JPC
3/2/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,303,JPC
3/2/2014 ,ROBBERY,704,102
3/2/2014 ,ROBBERY,703,102
3/2/2014 ,UNAUTHORIZED USE OF A VEHICLE,602,604
3/2/2014 ,UNAUTHORIZED USE OF A VEHICLE,603,604
3/3/2014 ,SIMPLE ASSAULT,208,208
3/3/2014 ,SIMPLE ASSAULT,407,407
3/3/2014 ,SIMPLE ASSAULT,507,107
3/3/2014 ,SIMPLE ASSAULT,107,107
3/3/2014 ,SIMPLE ASSAULT,106,107
3/3/2014 ,SIMPLE ASSAULT,409,409
3/3/2014 ,SIMPLE ASSAULT,603,602
3/4/2014 ,ADW KNIFE OR CUTTING INSTRUMENT,601,602
3/4/2014 ,UCSA POSSESSION MARIJUANA,106,404
3/4/2014 ,UCSA POSSESSION MARIJUANA,503,504
3/4/2014 ,"ROBBERY, FORCE & VIOLENCE",706,707
3/4/2014 ,UCSA POSSESSION MARIJUANA,706,706
3/4/2014 ,THREATS TO DO BODILY HARM - MISD,506,506
3/5/2014 ,UCSA POSSESSION MARIJUANA,OUT OF STATE ,207
3/5/2014 ,ADW KNIFE OR CUTTING INSTRUMENT,503,503
3/5/2014 ,SIMPLE ASSAULT,503,406
3/5/2014 ,SIMPLE ASSAULT,706,707
3/5/2014 ,DISORDERLY CONDUCT - INCITING VIOLENCE,306,701
3/5/2014 ,UCSA POSSESSION MARIJUANA,606,703
3/5/2014 ,SIMPLE ASSAULT,505,504
3/5/2014 ,CUSTODY ORDER,602,602
3/6/2014 ,APO (MISD),703,701
3/6/2014 ,POSS PROHIBITED WEAPON -FELONY,105,105
3/6/2014 ,SIMPLE ASSAULT,405,405
3/6/2014 ,UCSA POSSESSION MARIJUANA,OUT OF STATE ,306
3/6/2014 ,SIMPLE ASSAULT,604,604
3/6/2014 ,"ROBBERY, FORCE & VIOLENCE",505,505
3/6/2014 ,"ROBBERY, FORCE & VIOLENCE",702,505
3/7/2014 ,ADW KNIFE OR CUTTING INSTRUMENT,602,602
3/7/2014 ,SIMPLE ASSAULT,507,607
3/7/2014 ,SIMPLE ASSAULT,703,607
3/7/2014 ,SIMPLE ASSAULT,606,COURT
3/7/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,703,JPC
3/7/2014 ,THREATS (FELONY),404,302
3/7/2014 ,THREATS (FELONY),409,302
3/7/2014 ,THREATS (FELONY),307,302
3/7/2014 ,SHOPLIFTING,703,101
3/7/2014 ,ROBBERY SNATCH OR PURSESNATCH,607,102
3/7/2014 ,THEFT 2 (THEFT F/BUILDING),OUT OF STATE ,102
3/7/2014 ,UCSA POSSESSION MARIJUANA,604,604
3/7/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,409,409
3/7/2014 ,SIMPLE ASSAULT,605,603
3/8/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,706,507
3/8/2014 ,CONTEMPT - CONDITION OF RELEASE VIOLATION,701,607
3/8/2014 ,UCSA PWID PCP,703,607
3/8/2014 ,FUGITIVE FROM JUSTICE,701,101
3/8/2014 ,POSSESSION OF BB GUN ON PUBLIC SPACE,701,102
3/8/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,507,701
3/8/2014 ,METRO - FAIL TO PAY FARE,403,405
3/9/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,107,107
3/9/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,405,308
3/9/2014 ,ILLEGAL GAMBLING,708,705
3/9/2014 ,ADW KNIFE OR CUTTING INSTRUMENT,106,106
3/9/2014 ,FLEE LAW ENFORCEMENT OFFICER,404,407
3/9/2014 ,NO PERMIT,404,407
3/10/2014 ,UNLAWFUL ENTRY,402,202
3/10/2014 ,THREATS TO DO BODILY HARM - MISD,106,108
3/10/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,701,701
3/10/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,703,706
3/10/2014 ,BURGLARY TWO,501,401
3/10/2014 ,THEFT 2 (THEFT F/BUILDING),UNK ,404
3/10/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,507,503
3/10/2014 ,SIMPLE ASSAULT,602,707
3/11/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,706,COURT
3/11/2014 ,JUVENILE CUSTODY ORDER - FTA,404,JPC
3/11/2014 ,SIMPLE ASSAULT,706,707
3/11/2014 ,SIMPLE ASSAULT,705,304
3/11/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,404,JPC
3/11/2014 ,AFFRAYS,409,102
3/11/2014 ,FUGITIVE FROM JUSTICE,207,JPC
3/11/2014 ,CONTEMPT - CONDITION OF RELEASE VIOLATION,703,703
3/11/2014 ,CUSTODY ORDER,403,107
3/11/2014 ,ROBBERY SNATCH OR PURSESNATCH,703,703
3/12/2014 ,SEX ABUSE-MISD,705,705
3/12/2014 ,FAILURE TO APPEAR,701,COURT
3/12/2014 ,APO (MISD),204,202
3/12/2014 ,JUVENILE CUSTODY ORDER - PREPETITION,708,708
3/12/2014 ,ASSAULT ON A POLICE OFFICER (FELONY),706,108
3/13/2014 ,UCSA POSSESSION MARIJUANA,706,707
3/13/2014 ,"ROBBERY, FORCE & VIOLENCE",507,108
3/13/2014 ,"ROBBERY, FORCE & VIOLENCE",501,108
3/13/2014 ,"ROBBERY, FORCE & VIOLENCE",503,108
3/13/2014 ,SIMPLE ASSAULT,702,607
3/13/2014 ,SIMPLE ASSAULT,701,607
3/13/2014 ,FORGERY (INCL ATTEMPTS) OR UTTERING,106,703
3/13/2014 ,DEFACING PUBLIC OR PRIVATE PROPERTY,505,108
3/13/2014 ,ROBBERY SNATCH OR PURSESNATCH,706,107
3/13/2014 ,METRO - FAIL TO PAY FARE,304,305
3/13/2014 ,SIMPLE ASSAULT,603,603
3/13/2014 ,UNAUTHORIZED USE OF A VEHICLE,704,704
3/13/2014 ,UNAUTHORIZED USE OF A VEHICLE,704,704
3/13/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),708,708
3/13/2014 ,SIMPLE ASSAULT,604,604
3/13/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),708,708
3/13/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),708,708
3/13/2014 ,THEFT SECOND DEGREE,405,603
3/13/2014 ,UNLAWFUL ENTRY,601,608
3/13/2014 ,FUGITIVE FROM JUSTICE,OUT OF STATE ,JPC
3/14/2014 ,SIMPLE ASSAULT,707,701
3/14/2014 ,SIMPLE ASSAULT,704,701
3/14/2014 ,SIMPLE ASSAULT,606,701
3/14/2014 ,SIMPLE ASSAULT,705,701
3/14/2014 ,SIMPLE ASSAULT,107,701
3/14/2014 ,DISORDERLY CONDUCT,602,701
3/14/2014 ,DESTRUCTION OF PROPERTY - MISD,506,506
3/14/2014 ,DISORDERLY CONDUCT,701,505
3/14/2014 ,TAMPERING OF GPS DEVICE,506,505
3/14/2014 ,JUVENILE CUSTODY ORDER - PREPETITION,302,JPC
3/14/2014 ,ASSAULT ON A POLICE OFFICER [MISD],703,102
3/15/2014 ,UNAUTHORIZED USE OF A VEHICLE,OUT OF STATE ,502
3/15/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,506,COURT
3/15/2014 ,UNAUTHORIZED USE OF A VEHICLE,707,503
3/15/2014 ,UNAUTHORIZED USE OF A VEHICLE,OUT OF STATE ,503
3/15/2014 ,FAILURE TO APPEAR,105,706
3/16/2014 ,NO PERMIT,703,606
3/16/2014 ,UNLAWFUL ENTRY,706,703
3/16/2014 ,SIMPLE ASSAULT,602,602
3/16/2014 ,SIMPLE ASSAULT,302,301
3/17/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,602,602
3/18/2014 ,FUGITIVE FROM JUSTICE,OUT OF STATE ,601
3/18/2014 ,NO PERMIT,702,707
3/18/2014 ,UCSA PWID MARIJUANA,409,302
3/18/2014 ,RECEIVING STOLEN PROPERTY,507,102
3/18/2014 ,JUVENILE CUSTODY ORDER - FTA,602,102
3/18/2014 ,RECEIVING STOLEN PROPERTY,507,102
3/18/2014 ,SIMPLE ASSAULT,704,704
3/18/2014 ,POSS OF A CONTROLLED SUBSTANCE -MISD,403,202
3/18/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,603,603
3/18/2014 ,UNAUTHORIZED USE OF A VEHICLE,OUT OF STATE ,602
3/19/2014 ,PROBATION VIOLATION,702,COURT
3/19/2014 ,SIMPLE ASSAULT,407,701
3/19/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,304,206
3/19/2014 ,SIMPLE ASSAULT,707,707
3/19/2014 ,"ROBBERY, FORCE & VIOLENCE",605,505
3/20/2014 ,FUGITIVE FROM JUSTICE,OUT OF STATE ,JPC
3/20/2014 ,SIMPLE ASSAULT,706,607
3/20/2014 ,SIMPLE ASSAULT,702,607
3/20/2014 ,SIMPLE ASSAULT,704,607
3/20/2014 ,SIMPLE ASSAULT,706,607
3/20/2014 ,FAILURE TO APPEAR,602,505
3/20/2014 ,SIMPLE ASSAULT,602,502
3/20/2014 ,METRO - FAIL TO PAY FARE,502,103
3/20/2014 ,JUVENILE CUSTODY ORDER - FTA,603,603
3/20/2014 ,UCSA POSSESSION MARIJUANA,707,704
3/20/2014 ,THREATS TO DO BODILY HARM - MISD,601,601
3/20/2014 ,THREATS (FELONY),107,107
3/21/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,601,601
3/21/2014 ,ADW UNKNOWN WEAPON,502,302
3/21/2014 ,UNLAWFUL ENTRY,UNK ,703
3/21/2014 ,UNLAWFUL ENTRY,602,602
3/21/2014 ,ADW KNIFE OR CUTTING INSTRUMENT,403,403
3/21/2014 ,ADW KNIFE OR CUTTING INSTRUMENT,402,403
3/21/2014 ,APO (FELONY),707,602
3/21/2014 ,ROBBERY,409,401
3/21/2014 ,ROBBERY,706,401
3/22/2014 ,POSSESSION OF BB GUN ON PUBLIC SPACE,403,105
3/22/2014 ,CARRYING A PISTOL,604,603
3/22/2014 ,SIMPLE ASSAULT,704,302
3/22/2014 ,SIMPLE ASSAULT,407,407
3/22/2014 ,AGGRAVATED ASSAULT,404,302
3/22/2014 ,SIMPLE ASSAULT,704,607
3/22/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,307,301
3/22/2014 ,UCSA POSSESSION MARIJUANA,501,702
3/22/2014 ,ROBBERY SNATCH OR PURSESNATCH,OUT OF STATE ,106
3/22/2014 ,SIMPLE ASSAULT,505,504
3/22/2014 ,SIMPLE ASSAULT,505,504
3/22/2014 ,"ROBBERY, FEAR",608,605
3/22/2014 ,"ROBBERY, FEAR",OUT OF STATE ,605
3/22/2014 ,"ROBBERY, FEAR",601,605
3/22/2014 ,SIMPLE ASSAULT,708,307
3/22/2014 ,APO (MISD),602,505
3/22/2014 ,DESTRUCTION OF PROPERTY - MISD,OUT OF STATE ,703
3/23/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,308,103
3/23/2014 ,CARRYING A PISTOL,608,501
3/23/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,501,501
3/23/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,304,304
3/23/2014 ,ROBBERY SNATCH OR PURSESNATCH,605,606
3/23/2014 ,APO (MISD),607,308
3/23/2014 ,UNLAWFUL ENTRY,502,501
3/23/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),505,106
3/23/2014 ,ASSAULT W/I TO COMMIT ROBBERY (AWIR),105,106
3/23/2014 ,APO (MISD),OUT OF STATE ,304
3/24/2014 ,SIMPLE ASSAULT,701,607
3/24/2014 ,SIMPLE ASSAULT,701,607
3/24/2014 ,CONTEMPT - CONDITION OF RELEASE VIOLATION,304,COURT
3/24/2014 ,POSSESSION OF PROHIBITED WEAPON (PPW-B),607,607
3/24/2014 ,AFFRAYS,603,607
3/24/2014 ,AFFRAYS,603,607
3/24/2014 ,METRO - FAIL TO PAY FARE,702,703
3/24/2014 ,SIMPLE ASSAULT,703,703
3/24/2014 ,METRO - FAIL TO PAY FARE,702,702
3/25/2014 ,SIMPLE ASSAULT,602,608
3/25/2014 ,DESTRUCTION OF PROPERTY - FELONY,705,707
3/25/2014 ,JUVENILE CUSTODY ORDER - FTA,108,506
3/25/2014 ,ADW KNIFE OR CUTTING INSTRUMENT,604,602
3/25/2014 ,FUGITIVE FROM JUSTICE,608,608
3/25/2014 ,DESTRUCTION OF PROPERTY - MISD,603,603
3/25/2014 ,UNAUTHORIZED USE OF A VEHICLE,106,602
3/25/2014 ,UNAUTHORIZED USE OF A VEHICLE,UNK ,602
3/26/2014 ,UCSA PWID COCAINE/CRACK COCAINE,602,602
3/26/2014 ,SIMPLE ASSAULT,705,108
3/26/2014 ,ATTEMPT TO COMMIT ROBBERY,605,604
3/26/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,707,COURT
3/26/2014 ,CONTEMPT - MISDEMEANOR,603,607
3/26/2014 ,"ROBBERY, FORCE & VIOLENCE",OUT OF STATE ,JPC
3/26/2014 ,ASSAULT ON A POLICE OFFICER [MISD],604,602
3/26/2014 ,BURGLARY TWO,602,602
3/26/2014 ,BURGLARY TWO,602,602
3/26/2014 ,FUGITIVE FROM JUSTICE,106,602
3/26/2014 ,FUGITIVE FROM JUSTICE,105,602
3/26/2014 ,ROBBERY SNATCH OR PURSESNATCH,403,403
3/27/2014 ,UCSA POSSESSION MARIJUANA,608,602
3/27/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,407,JPC
3/27/2014 ,SIMPLE ASSAULT,702,702
3/27/2014 ,ASSAULT WITH A DANGEROUS WEAPON,701,701
3/27/2014 ,UCSA POSSESSION HEROIN,OUT OF STATE ,601
3/27/2014 ,DISORDERLY CONDUCT,103,507
3/27/2014 ,ASSAULT ON A POLICE OFFICER (FELONY),507,507
3/27/2014 ,"POSSESSION OF PROHIBITED WEAPON (A) (BLACKJACK, GUN, KNIFE) ",OUT OF STATE ,703
3/27/2014 ,CARRY DANGEROUS WEAPON- MISD,608,703
3/27/2014 ,FUGITIVE FROM JUSTICE,603,107
3/27/2014 ,METRO - FAIL TO PAY FARE,604,104
3/27/2014 ,TAMPERING OF GPS DEVICE,306,603
3/27/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,706,706
3/28/2014 ,FUGITIVE FROM JUSTICE,OUT OF STATE ,108
3/28/2014 ,"ROBBERY, FORCE & VIOLENCE",706,306
3/28/2014 ,AGGRAVATED ASSAULT,507,704
3/28/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,105,105
3/28/2014 ,NO PERMIT,105,506
3/28/2014 ,THEFT 2 (THEFT F/BUILDING),702,702
3/28/2014 ,THREATS (MISD),604,106
3/28/2014 ,SIMPLE ASSAULT,503,504
3/28/2014 ,POSSESSION OF BB GUN ON PUBLIC SPACE,OUT OF STATE ,604
3/29/2014 ,THREATS (MISD),507,702
3/29/2014 ,METRO - FAIL TO PAY FARE,507,703
3/30/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,501,306
3/30/2014 ,THEFT SECOND DEGREE,603,104
3/30/2014 ,DESTRUCTION OF PROPERTY - MISD,105,105
3/30/2014 ,DESTRUCTION OF PROPERTY - MISD,308,308
3/30/2014 ,ASSAULT WITH SIGNIFICANT BODILY INJURY,404,404
3/31/2014 ,SIMPLE ASSAULT,507,507
3/31/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,601,603
3/31/2014 ,ABSCONDER W/ARREST,607,701
3/31/2014 ,SIMPLE ASSAULT,404,302
3/31/2014 ,UCSA POSSESSION MARIJUANA,607,607
3/31/2014 ,SIMPLE ASSAULT,603,605
3/31/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,707,102
3/31/2014 ,THREATS (FELONY),604,604
3/31/2014 ,SIMPLE ASSAULT,605,605
4/1/2014 ,ROBBERY SNATCH OR PURSESNATCH,103,307
4/1/2014 ,FUGITIVE FROM JUSTICE,108,603
4/1/2014 ,"ROBBERY, FORCE & VIOLENCE",507,308
4/2/2014 ,ASSAULT ON A POLICE OFFICER [MISD],505,JPC
4/2/2014 ,ROBBERY,706,306
4/2/2014 ,UNAUTHORIZED USE OF A VEHICLE,608,108
4/2/2014 ,UNAUTHORIZED USE OF A VEHICLE,706,108
4/2/2014 ,NO PERMIT,703,108
4/2/2014 ,SIMPLE ASSAULT,602,506
4/2/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,601,107
4/2/2014 ,SIMPLE ASSAULT,702,701
4/2/2014 ,UCSA PWID MARIJUANA,OUT OF STATE ,608
4/2/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,404,604
4/2/2014 ,"ROBBERY, FORCE & VIOLENCE",501,208
4/2/2014 ,"ROBBERY, FORCE & VIOLENCE",101,208
4/2/2014 ,"ROBBERY, FORCE & VIOLENCE",103,208
4/2/2014 ,"ROBBERY, FORCE & VIOLENCE",103,208
4/3/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,604,604
4/3/2014 ,SIMPLE ASSAULT,607,401
4/3/2014 ,SIMPLE ASSAULT,507,507
4/3/2014 ,ROBBERY SNATCH OR PURSESNATCH,407,302
4/3/2014 ,SIMPLE ASSAULT,108,102
4/3/2014 ,THREATS (FELONY),404,202
4/3/2014 ,AFFRAYS,701,607
4/3/2014 ,AFFRAYS,605,607
4/3/2014 ,AFFRAYS,607,607
4/3/2014 ,AFFRAYS,607,607
4/3/2014 ,AFFRAYS,704,607
4/3/2014 ,THREATS (MISD),504,504
4/3/2014 ,AFFRAYS,603,607
4/3/2014 ,FUGITIVE FROM JUSTICE,OUT OF STATE ,JPC
4/3/2014 ,METRO - FAIL TO PAY FARE,603,703
4/3/2014 ,"ROBBERY, FORCE & VIOLENCE",406,504
